id,transaction_id,account_id,amount,date,description,category,merchant_name,merchant_typ,user_modified,user_modified_fields,date_temp
1545,txn_p9pu5fl0a9aferpfv4006,acc_p9opotuud3tio7hht4000,7.67,2023-03-21,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1546,txn_p9pu5fl0a9aferpfv4007,acc_p9opotuud3tio7hht4000,6.78,2023-03-20,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1547,txn_p9pu5fl0a9aferpfv4008,acc_p9opotuud3tio7hht4000,11.2,2023-03-20,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1548,txn_p9pu5fl0a9aferpfv4009,acc_p9opotuud3tio7hht4000,8.28,2023-03-17,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1549,txn_p9pu5fl0a9aferpfv400a,acc_p9opotuud3tio7hht4000,-48.0,2023-03-16,"Payment Thank You",Unknown,Unknown,Unknown,,,
1550,txn_p9pu5fl0a9aferpfv400b,acc_p9opotuud3tio7hht4000,4.28,2023-03-16,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1551,txn_p9pu5fl0a9aferpfv400c,acc_p9opotuud3tio7hht4000,6.64,2023-03-16,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1552,txn_p9pu5fl0a9aferpfv400d,acc_p9opotuud3tio7hht4000,6.5,2023-03-15,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1553,txn_p9pu5fl0a9aferpfv400e,acc_p9opotuud3tio7hht4000,4.73,2023-03-15,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1554,txn_p9pu5fl0a9aferpfv400f,acc_p9opotuud3tio7hht4000,3.58,2023-03-14,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1555,txn_p9pu5fl0a9aferpfv400g,acc_p9opotuud3tio7hht4000,6.34,2023-03-14,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1556,txn_p9pu5fl0q9aferpfv4000,acc_p9opotuud3tio7hht4000,2.45,2023-03-14,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1557,txn_p9pu5fl0q9aferpfv4001,acc_p9opotuud3tio7hht4000,6.81,2023-03-13,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
